Exercise,Utility,Mechanics,Force,Instructions,Muscle
cable neck flexion,basic or auxiliary,isolated,pull,Sit on bench facing away from middle pulley. Place neck in harness cable attachment. Place arms on lower thighs for support.move head away from pulley by bending neck forward until chin touches upper chest. return head by hyperextending neck and repeat.,sternocleidomastoid
cable neck rotation (with belt),auxiliary,isolated,pull,"Place workout chair or bench with vertical back support facing to one side near adjustable height cable pulley. Adjust pulley approximately height of head when seated. Attach belt on low pulley cable by attaching carabiner on belt buckle. Sit on bench, grasp attached belt from side. Face toward cable pulley and place head in belt loop. With belt above ears, clamp belt snugly around head by tightly gripping ends close forehead. Position torso upright with feet wide apart and hand nearest cable pulley on lower thigh for added support.turn head away from pulley cable by rotating head away from pulley. turn head back toward cable pulley and repeat. turn seat the opposite direction or attach belt to pulley on opposite side and continue with other side.",sternocleidomastoid
cable lateral neck flexion (with belt),auxiliary,isolated,pull,"Adjust pulley approximately height of neck or head when seated. Attach belt on low pulley cable by attaching carabiner on belt buckle. Sit on bench with pulley to one side and feet apart. Place head in belt loop. With belt above ears, clamp belt snugly around head by tightly gripping ends close to side of head. Pull torso upright by bracing opposite hand on far side of bench.pull head away from pulley cable by laterally flexing neck. tilt head back toward cable pulley and repeat. sit on bench the opposite direction and continue with other side.",sternocleidomastoid
lever neck flexion (plate loaded),basic or auxiliary,isolated,pull,"Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.
move head forward by flexing neck until chin touches upper chest. return head by hyperextending neck and repeat.",sternocleidomastoid
lever lateral neck flexion (plate loaded),auxiliary,isolated,pull,"Sit on seat in machine with feet apart


. Position padded lever on side of head. Center body so neck is in line with lever axis. Grasp handles for support.
move head down to side by laterally flexing neck. return head to opposite side and repeat. sit in machine backwards and continue with opposite side.",sternocleidomastoid
lever neck flexion,basic or auxiliary,isolated,pull,"Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.
move head forward by flexing neck until chin touches upper chest. return head by hyperextending neck and repeat.",sternocleidomastoid
lever lateral neck flexion,auxiliary,isolated,pull,"Sit on seat in machine with feet apart. Position side of head on padded lever. Center body so neck is in line with lever axis. Grasp handles for support.
move head down to side by laterally flexing neck. return head to opposite side and repeat. sit in machine backwards and continue with opposite side.",sternocleidomastoid
weighted lying neck flexion,basic or auxiliary,isolated,pull,"Place folded towel on weight plate(s). Lie supine on bench, head extending off of end of bench. Place plates on forehead with towel placed in between for comfort.
move head up by flexing neck until chin touches upper chest. return by hyperextending neck and repeat.",sternocleidomastoid
weighted neck flexion,basic or auxiliary,isolated,pull,"Place folded towel on weight plate. Lie supine perpendicular on bench with low back and hips extending off and feet on floor. Place weight and towel on forehead. Place plates on forehead with towel placed in between for comfort.
move head up by flexing neck until chin touches upper chest. return by hyperextending neck and repeat.",sternocleidomastoid
weighted lateral neck flexion,auxiliary,isolated,pull,"Place folded towel on weight plate. Lie on bench on side with knees and hips bent and arm hanging over edge. Position weight and towel on side of upper head. Hold weight on side of head with hand of upper arm. Place hand of lower arm on floor for support.
move head up to side by laterally flexing neck. lower head to opposite side and repeat. lie on other side and continue.",sternocleidomastoid
front neck bridge,basic or auxiliary,isolated,push & pull,"Kneel on all fours on well cushioned mat. Place head on mat between hands. Rise and straighten knees. Fold hands behind low back or hips.
roll back onto forehead until nose touches mat. roll forward onto top of head until chin touches upper chest. repeat.",sternocleidomastoid
wall front neck bridge,basic or auxiliary,isolated,push & pull,Place small or folded cushioned mat on wall or column approximately chest height. With hands supporting mat on each side stand back so feet are away from wall or column with body leaning forward. Place top of forehead on mat. Fold hands behind low back or hips.roll down onto forehead until nose touches mat. roll up onto top of head until chin touches upper chest. repeat.,sternocleidomastoid
wall side neck bridge,auxiliary,isolated,pull,"Place small or folded cushioned mat on column or at end of wall approximately shoulder height. With hands supporting mat, stand with side toward mat. Step far to side so feet are away from wall or column forward. Place side of head on mat with shoulder extending over end of adjacent side of column or wall so body leans to side. Fold hands behind low back or hips.
push side of head into mat and roll onto top of head moving body away from mat. return to original position by rolling back down to side of head while bringing shoulder back over end of column or wall. repeat.",sternocleidomastoid
